Year,State,Coalition,Fuel Type,Vehicle Class,GGE Impacted,GHG Impacted
2024,NC,Centralina Clean Fuels Coalition,Propane,Light-Duty,27683.561948000002,41.331211729307
2024,NC,Centralina Clean Fuels Coalition,Propane,Off-Road,166.578248,0.248699240898
2024,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),Biodiesel,Heavy-Duty,113803.728064,897.454631716583
2024,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),Biodiesel,Light-Duty,15681.403311999999,527.025953694882
2024,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),Biodiesel,Off-Road,10036.695604999999,79.149243278425
2024,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),CNG,Heavy-Duty,66664.6432,211.031667732147
2024,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),CNG,Light-Duty,68637.932762,318.326023440585
2024,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),E85,Light-Duty,1389.858235,6.963887084824
2024,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),EV & PHEV Mixed,Light-Duty,48859.809259,360.360022306238
2024,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),Electric,Heavy-Duty,43351.311263,413.612557276688
2024,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),Electric,Light-Duty,2119268.517292,16772.087760125065
2024,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),Electric,Off-Road,164119.202205,1083.09895600431
2024,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),HEV,Heavy-Duty,13624.5708,161.331079257497
2024,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),HEV,Light-Duty,70213.660057,820.661719061427
2024,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),PHEV,Light-Duty,507337.099442,5929.771353642955
2024,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),Propane,Heavy-Duty,37721.644282,56.317943101324
2024,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),Propane,Light-Duty,64568.894423000005,96.400551764006
2024,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),Propane,Off-Road,3106.529941,3.2457299543700002
2024,SC,Palmetto Clean Fuels Coalition   .xlsx,Biodiesel,Heavy-Duty,20836.639187,164.3174495799
2024,SC,Palmetto Clean Fuels Coalition   .xlsx,Biodiesel,Light-Duty,633.516263,10.313010218955
2024,SC,Palmetto Clean Fuels Coalition   .xlsx,Biodiesel,Off-Road,55.462896,0.437379631434
2024,SC,Palmetto Clean Fuels Coalition   .xlsx,CNG,Heavy-Duty,2739538.731467,15342.127177394672
2024,SC,Palmetto Clean Fuels Coalition   .xlsx,CNG,Light-Duty,127037.109916,763.1546402007109
2024,SC,Palmetto Clean Fuels Coalition   .xlsx,E85,Light-Duty,1184277.237459,5933.823141613047
2024,SC,Palmetto Clean Fuels Coalition   .xlsx,EV & PHEV Mixed,Light-Duty,23004.968674000003,169.67055643356503
2024,SC,Palmetto Clean Fuels Coalition   .xlsx,Electric,Heavy-Duty,426281.44776899996,1884.8861629679188
2024,SC,Palmetto Clean Fuels Coalition   .xlsx,Electric,Light-Duty,18631.479279,147.201365063085
2024,SC,Palmetto Clean Fuels Coalition   .xlsx,Electric,Off-Road,1272.329138,8.395652564174
2024,SC,Palmetto Clean Fuels Coalition   .xlsx,HEV,Heavy-Duty,19458.497262,230.411688563278
2024,SC,Palmetto Clean Fuels Coalition   .xlsx,HEV,Light-Duty,31886.035003,372.68600265764695
2024,SC,Palmetto Clean Fuels Coalition   .xlsx,Hydrogen,Heavy-Duty,5234.981296,26.108519094842
2024,SC,Palmetto Clean Fuels Coalition   .xlsx,Hydrogen,Off-Road,668971.536348,3246.471331377902
2024,SC,Palmetto Clean Fuels Coalition   .xlsx,PHEV,Heavy-Duty,7912.081997,62.035988618284
2024,SC,Palmetto Clean Fuels Coalition   .xlsx,PHEV,Light-Duty,1321.897718,14.970729645104
2024,SC,Palmetto Clean Fuels Coalition   .xlsx,Propane,Heavy-Duty,532349.892089,-152.394468253088
2024,SC,Palmetto Clean Fuels Coalition   .xlsx,Propane,Light-Duty,458575.446775,684.647406300962
2024,SC,Palmetto Clean Fuels Coalition   .xlsx,Propane,Off-Road,1242.855453,1.855567645361
2024,TN,East Tennessee Clean Fuels,Biodiesel,Heavy-Duty,3930823.245615,30998.417962
2024,TN,East Tennessee Clean Fuels,Biodiesel,Light-Duty,15061.098614,245.1796
2024,TN,East Tennessee Clean Fuels,Biodiesel,Off-Road,40570.069275,596.7617349999999
2024,TN,East Tennessee Clean Fuels,CNG,Heavy-Duty,658855.218988,4778.998844000001
2024,TN,East Tennessee Clean Fuels,CNG,Light-Duty,83160.15,396.81412800000004
2024,TN,East Tennessee Clean Fuels,E85,Light-Duty,2358739.965446,11818.470667
2024,TN,East Tennessee Clean Fuels,Electric,Heavy-Duty,66296.351699,344.875392
2024,TN,East Tennessee Clean Fuels,Electric,Light-Duty,6827781.339882,52766.188303999996
2024,TN,East Tennessee Clean Fuels,Electric,Off-Road,159988.16747800002,1195.040003
2024,TN,East Tennessee Clean Fuels,HEV,Heavy-Duty,1499.296581,17.75345
2024,TN,East Tennessee Clean Fuels,HEV,Light-Duty,34213.352319,399.887836
2024,TN,East Tennessee Clean Fuels,LNG,Heavy-Duty,500900.473738,3759.472612
2024,TN,East Tennessee Clean Fuels,PHEV,Heavy-Duty,85410.042119,561.492779
2024,TN,East Tennessee Clean Fuels,PHEV,Light-Duty,1228.770397,8.209771
2024,TN,East Tennessee Clean Fuels,Propane,Heavy-Duty,85612.690657,116.842272
2024,TN,East Tennessee Clean Fuels,Propane,Light-Duty,166195.496716,248.127797
2024,TN,East Tennessee Clean Fuels,Propane,Off-Road,1011394.4948000001,1508.833146
2024,TN,East Tennessee Clean Fuels,Renewable Diesel,Heavy-Duty,292339.53744600003,2079.894759
2024,TN,Middle,Biodiesel,Heavy-Duty,20.458936,0.161338884218
2024,TN,Middle,Biodiesel,Light-Duty,301673.55214,4910.943266548002
2024,TN,Middle,CNG,Heavy-Duty,3557962.893088,26071.925624365842
2024,TN,Middle,CNG,Light-Duty,854169.2725,7013.940770660322
2024,TN,Middle,E85,Light-Duty,1293598.948669,6481.579764236687
2024,TN,Middle,Electric,Heavy-Duty,143123.96711,1212.434804625061
2024,TN,Middle,Electric,Light-Duty,601922.438442,4651.318460986724
2024,TN,Middle,Electric,Off-Road,26442.306779,174.483483909161
2024,TN,Middle,HEV,Heavy-Duty,304029.414896,3600.0689012926214
2024,TN,Middle,HEV,Light-Duty,90518.79134299999,1057.989383418905
2024,TN,Middle,LNG,Heavy-Duty,1693805.554176,12712.73621148137
2024,TN,Middle,PHEV,Light-Duty,468199.011809,3156.617824301156
2024,TN,Middle,Propane,Heavy-Duty,258993.67172,-101.772602182597
2025,AL,Alabama Clean Fuels Coalition,Biodiesel,Heavy-Duty,2806187.448292,22129.555558369015
2025,AL,Alabama Clean Fuels Coalition,Biodiesel,Light-Duty,84.904583,1.382161564223
2025,AL,Alabama Clean Fuels Coalition,CNG,Heavy-Duty,1997392.9425,10163.43803392545
2025,AL,Alabama Clean Fuels Coalition,CNG,Light-Duty,75967.1015,344.91853391696503
2025,AL,Alabama Clean Fuels Coalition,E85,Light-Duty,631768.855253,3165.478939286988
2025,AL,Alabama Clean Fuels Coalition,Electric,Heavy-Duty,8150.254684,52.659194299098
2025,AL,Alabama Clean Fuels Coalition,Electric,Light-Duty,7981062.979794,65057.5007014675
2025,AL,Alabama Clean Fuels Coalition,HEV,Heavy-Duty,857.041802,10.148391527577
2025,AL,Alabama Clean Fuels Coalition,HEV,Light-Duty,4051126.889829,47349.82843601947
2025,AL,Alabama Clean Fuels Coalition,Hydrogen,Heavy-Duty,11477.76,38.512995315527
2025,AL,Alabama Clean Fuels Coalition,LNG,Heavy-Duty,129431.105986,971.4358911532989
2025,AL,Alabama Clean Fuels Coalition,PHEV,Light-Duty,1599984.2372710002,15230.458918392684
2025,AL,Alabama Clean Fuels Coalition,Propane,Heavy-Duty,622445.528253,-244.592467093383
2025,AL,Alabama Clean Fuels Coalition,Propane,Light-Duty,382258.387807,570.706991809675
2025,FL,Southeast Florida Clean Cities Coalition,Biodiesel,Heavy-Duty,473498.568431,3734.003187593036
2025,FL,Southeast Florida Clean Cities Coalition,Biodiesel,Off-Road,34422.585359,271.456033922978
2025,FL,Southeast Florida Clean Cities Coalition,CNG,Heavy-Duty,20009523.799670998,145547.62721336962
2025,FL,Southeast Florida Clean Cities Coalition,CNG,Light-Duty,32064.97,243.06861674014
2025,FL,Southeast Florida Clean Cities Coalition,CNG,Off-Road,612.0,4.437234863435
2025,FL,Southeast Florida Clean Cities Coalition,E85,Heavy-Duty,36541.842699,183.09296588992
2025,FL,Southeast Florida Clean Cities Coalition,E85,Light-Duty,269177.788335,1348.715772883693
2025,FL,Southeast Florida Clean Cities Coalition,Electric,Heavy-Duty,19490.175305,220.13085385543002
2025,FL,Southeast Florida Clean Cities Coalition,Electric,Light-Duty,265461.54218499997,2086.166055004791
2025,FL,Southeast Florida Clean Cities Coalition,Electric,Off-Road,12731.360299,85.907165177703
2025,FL,Southeast Florida Clean Cities Coalition,HEV,Heavy-Duty,83809.429099,992.40305229392
2025,FL,Southeast Florida Clean Cities Coalition,HEV,Light-Duty,179953.073543,2103.302955067638
2025,FL,Southeast Florida Clean Cities Coalition,PHEV,Light-Duty,60277.778017000004,459.00461086271
2025,FL,Southeast Florida Clean Cities Coalition,Propane,Heavy-Duty,1194153.4792320002,1782.856208347217
